部署名,棚番,用途,種類,メーカー名,品番,数量,依頼,依頼日,税抜単価,税抜金額 ,在庫数,発注点,発注,発注日,出庫,出庫日,入庫 ,入庫日,仕入先名,備考,担当者,伝票No,税込単価 ,税込金額,税額,税率,勘定科目,使用先,サイズ,入力日
生産部,,,リーマ,F.P,CB 3.210,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 3.30,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 3.510,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 3.560,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 4.410,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB02RS-01 VP15TF,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB02RS-01B MS7025,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB02RS-01B MS9025,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB02RS-01B VP15TF,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB03RS VP15TF,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB03RS-01B MS7025,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB03RS-01B MS9025,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB03RS-B MS7025,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB04RS-01B MS7025,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB04RS-01B MS9025,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,三菱,CB06RS VP15TF,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,スペーサー,廣杉計器(MISUMI),CB-607E 50個 黄銅スペーサー,1,,,,¥0,,,,,,,,,棒柘産業(株),1パック(50個入り)から注文可,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ケーブル収納ボックス,サンワサプライ,CB-BOX4WN,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ケーブル収納ボックス,サンワサプライ,CB-BOXS5WN,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,直付けホルダー,三新,CBS1905120,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,直付けホルダー,三新,CBS1905120 M4 P=7 特注スリーブ,1,,,,¥0,,,,,,,,,棒柘産業(株),納期約2ヶ月,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,直付けホルダー,三新,CBS254120,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET0301005ML-F PR1535,10,,,806,"¥8,060",,,,,,,,,棒柘産業(株),,加藤彩,,¥887,"¥8,866",¥806,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET0301005ML-FSF PR1025,10,,,972,"¥9,720",,,,,,,,,棒柘産業(株),,加藤彩,,"¥1,069","¥10,692",¥972,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET030101ML-F PV720,10,,,754,"¥7,540",,,,,,,,,棒柘産業(株),,加藤彩,,¥829,"¥8,294",¥754,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET030102ML-FSF PR1225,10,,,884,"¥8,840",,,,,,,,,棒柘産業(株),,加藤彩,,¥972,"¥9,724",¥884,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET040101ML-F PR1535,10,,,806,"¥8,060",,,,,,,,,棒柘産業(株),,加藤彩,,¥887,"¥8,866",¥806,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET040101ML-FSF PR1025,10,,,972,"¥9,720",,,,,,,,,棒柘産業(株),,加藤彩,,"¥1,069","¥10,692",¥972,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET0602005MFL-U PR1725,10,,,718,"¥7,180",,,,,,,,,棒柘産業(株),※PR1535から切替で発注,加藤彩,,¥790,"¥7,898",¥718,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET060201MFL-U PR1535,10,,,650,"¥6,500",,,,,,,,,棒柘産業(株),,加藤彩,,¥715,"¥7,150",¥650,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET060202MFL-U PR1535,10,,,650,"¥6,500",,,,,,,,,棒柘産業(株),,加藤彩,,¥715,"¥7,150",¥650,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCET060202MFL-U PV720,10,,,640,"¥6,400",,,,,,,,,棒柘産業(株),,加藤彩,,¥704,"¥7,040",¥640,10,消耗品,,,
生産部,,,ザグリ,三菱,CCET0602V3LW-SN VP15TF,1,,,805,¥805,,,,,,,,,(株)佐藤機工,,加藤彩,,¥886,¥886,¥81,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCGT030101MP-CF PR1025,10,,,936,"¥9,360",,,,,,,,,棒柘産業(株),,加藤彩,,"¥1,030","¥10,296",¥936,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCGT030101MP-CF PR1535,10,,,806,"¥8,060",,,,,,,,,棒柘産業(株),PR1725欠品の為、代替で発注,加藤彩,,¥887,"¥8,866",¥806,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGT030102MFP-PF PR1535,10,,,889,"¥8,890",,,,,,,,,棒柘産業(株),,加藤彩,,¥978,"¥9,779",¥889,10,消耗品,,,
生産部,,,ザグリ,タンガロイ,CCGT03X102FL-W08 SH725,1,,,662,¥662,,,,,,,,,(株)柏ツール,,加藤彩,,¥728,¥728,¥66,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCGT040101L-F KW10,10,,,733,"¥7,330",,,,,,,,,棒柘産業(株),,加藤彩,,¥806,"¥8,063",¥733,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCGT040102MP-CF PR1725,10,,,941,"¥9,410",,,,,,,,,棒柘産業(株),,加藤彩,,"¥1,035","¥10,351",¥941,10,消耗品,,,
生産部,,,ザグリ,タンガロイ,CCGT04T100L-W08 SH730,1,,,767,¥767,,,,,,,,,(株)柏ツール,CCGT04T100L-W08 TH10(ノンコート)の代替え品,加藤彩,,¥844,¥844,¥77,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGT0602003FR-U PR930 ,10,,,718,"¥7,180",,,,,,,,,棒柘産業(株),,加藤彩,,¥790,"¥7,898",¥718,10,消耗品,,,
生産部,,,前挽き,アプリテック,CCGT0602005-FN-X17-TIALN,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,前挽き,タンガロイ,CCGT060201FN-JS SH725,1,,,705,¥705,,,,,,,,,(株)柏ツール,,加藤彩,,¥776,¥776,¥71,10,消耗品,,,
生産部,,,前挽き,住友,CCGT060201MN-FF AC1030U,1,,,851,¥851,,,,,,,,,岩瀬産業(株),,加藤彩,,¥936,¥936,¥85,10,消耗品,,,
生産部,,,前挽き,三菱,CCGT060201M-SMG MS6015,1,,,645,¥645,,,,,,,,,(株)佐藤機工,,加藤彩,,¥710,¥710,¥65,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGT060202AP KW10,10,,,707,"¥7,070",,,,,,,,,棒柘産業(株),,加藤彩,,¥778,"¥7,777",¥707,10,消耗品,,,
生産部,,,前挽き,タンガロイ,CCGT060202FN-JS SH730,1,,,820,¥820,,,,,,,,,(株)柏ツール,,加藤彩,,¥902,¥902,¥82,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGT060202MFP-SK PR1425,10,,,650,"¥6,500",,,,,,,,,棒柘産業(株),,加藤彩,,¥715,"¥7,150",¥650,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGT060202MFR-SK PR1425,10,,,650,"¥6,500",,,,,,,,,棒柘産業(株),,加藤彩,,¥715,"¥7,150",¥650,10,消耗品,,,
生産部,,,前挽き,住友,CCGT060202MN-FC AC530U,1,,,707,¥707,,,,,,,,,岩瀬産業(株),,加藤彩,,¥778,¥778,¥71,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGT09T3003FR-U PR930,10,,,992,"¥9,920",,,,,,,,,棒柘産業(株),,加藤彩,,"¥1,091","¥10,912",¥992,10,消耗品,,,
生産部,,,前挽き,アプリテック,CCGT09T3005-FN-X17-TIALN,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGT09T301MFP-GF PR1225,10,,,899,"¥8,990",,,,,,,,,棒柘産業(株),,加藤彩,,¥989,"¥9,889",¥899,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCGW040101NE KPD001,10,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,前挽き,京セラ,CCGW040101SE KPD001,10,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリ,京セラ,CCGW040102SE KPD001,10,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,前挽き,NTK,CCGW060200H KM1,1,,,945,¥945,,,,,,,,,棒柘産業(株),,加藤彩,,"¥1,040","¥1,040",¥95,10,消耗品,,,
生産部,,,前挽き,京セラ,CCMT060201NE KPD001,10,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,前挽き,京セラ,CCMT09T304MQ CA6525,10,,,458,"¥4,580",,,,,,,,,棒柘産業(株),,加藤彩,,¥504,"¥5,038",¥458,10,消耗品,,,
生産部,,,センタードリル,イワタツール,CD1.6*4TICN,1,,,833,¥833,,,,,,,,,棒柘産業(株),,加藤彩,,¥916,¥916,¥83,10,消耗品,,,
生産部,,,ノギス,ミツトヨ,CD-10APX CD,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ノギス,ミツトヨ,CD-30C,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,シリンダ,コガネイ,CDA32X10-B,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
